class,uniprot_id,description,len,dataset
positive,A0A6N3AVH1,A0A6N3AVH1_MEDGN Thermostable beta-glucosidase B OS=Mediterraneibacter gnavus OX=33038 GN=bglB_1 PE=3 SV=1,694,train
positive,A0A3Q9J5E0,A0A3Q9J5E0_9MICO Thermostable beta-glucosidase B OS=Microbacterium lemovicicum OX=1072463 GN=bglB_1 PE=3 SV=1,414,train
negative,A0A268AX52,A0A268AX52_9BACL beta-glucosidase OS=Paenibacillus sp. 7523-1 OX=2022550 GN=CHH60_23710 PE=3 SV=1,797,train
negative,A0A495L6P2,A0A495L6P2_9ACTN Beta-glucosidase OS=Nocardiopsis sp. Huas11 OX=2183912 GN=DFP74_4025 PE=3 SV=1,465,train
positive,A0A496QCW0,A0A496QCW0_9BACT Beta-glucosidase OS=Thermotogota bacterium OX=2053689 GN=DRP32_06595 PE=3 SV=1,449,train
negative,A0A315H710,A0A315H710_SALET beta-glucosidase OS=Salmonella enterica I OX=59201 GN=DAX91_20230 PE=3 SV=1,765,train
positive,A0A1V6C2G2,A0A1V6C2G2_9BACT Thermostable beta-glucosidase B OS=Bacteroidetes bacterium ADurb.Bin139 OX=1852805 GN=bglB_1 PE=3 SV=1,773,train
negative,P94248,BGLFU_BIFBR Bifunctional beta-D-glucosidase/beta-D-fucosidase OS=Bifidobacterium breve OX=1685 PE=1 SV=1,460,train
positive,D3T6M2,D3T6M2_THEIA beta-glucosidase OS=Thermoanaerobacter italicus (strain DSM 9252 / Ab9) OX=580331 GN=Thit_0319 PE=3 SV=1,447,train
positive,A0A174QK10,A0A174QK10_9FIRM Thermostable beta-glucosidase B OS=Fusicatenibacter saccharivorans OX=1150298 GN=bglB_9 PE=3 SV=1,751,train
negative,A0A401M2R2,A0A401M2R2_9ACTN Beta-glucosidase OS=Streptomyces sp. NL15-2K OX=376149 GN=SNL152K_121 PE=4 SV=1,423,train
negative,A0A1V2QMN5,A0A1V2QMN5_9PSEU Beta-glucosidase OS=Saccharothrix sp. ALI-22-I OX=1933778 GN=ALI22I_16035 PE=3 SV=1,472,train
negative,A0A6H1W2Q6,A0A6H1W2Q6_9MICO Beta-glucosidase OS=Leifsonia sp. PS1209 OX=2724914 GN=HF024_01475 PE=3 SV=1,501,train
positive,A0A6J4VE23,A0A6J4VE23_9BACT Beta-glucosidase OS=uncultured Thermomicrobiales bacterium OX=1645740 GN=AVDCRST_MAG33-2947 PE=3 SV=1,448,train
negative,A0A416MNQ4,A0A416MNQ4_9FIRM beta-glucosidase OS=Firmicutes bacterium AF25-13AC OX=2292181 GN=DWY36_01905 PE=3 SV=1,741,train
negative,A0A0U5IDY0,A0A0U5IDY0_9GAMM Beta-glucosidase OS=Thiocapsa sp. KS1 OX=610332 GN=bglB PE=3 SV=1,453,train
negative,A0A2T6D3F8,A0A2T6D3F8_9BACT Glycoside hydrolase family 1 protein OS=Spartobacteria bacterium LR76 OX=2161866 GN=DB345_07120 PE=3 SV=1,505,train
positive,A0A399DVJ6,A0A399DVJ6_9DEIN Beta-glucosidase OS=Calidithermus terrae OX=1408545 GN=bglA_3 PE=3 SV=1,453,train
positive,A0A7Y5XY44,A0A7Y5XY44_9ACTN Beta-glucosidase OS=Thermoleophilia bacterium OX=2026888 GN=HOQ03_13170 PE=3 SV=1,435,train
negative,A0A3D9CH02,A0A3D9CH02_9FLAO beta-glucosidase OS=Chryseobacterium flavum OX=415851 GN=DRF59_18040 PE=4 SV=1,766,train
positive,A0A7Y2CNU3,A0A7Y2CNU3_9BACT beta-glucosidase OS=Rhodothermales bacterium OX=2306054 GN=HKN37_04905 PE=3 SV=1,773,train
negative,A0A5Y7YV59,A0A5Y7YV59_SALER beta-glucosidase OS=Salmonella enterica OX=28901 GN=bglX PE=3 SV=1,765,train
negative,A0A1S3B454,A0A1S3B454_CUCME Beta-glucosidase OS=Cucumis melo OX=3656 GN=LOC103485810 PE=3 SV=1,502,train
positive,A0A0P0G965,A0A0P0G965_9BACE Thermostable beta-glucosidase B OS=Bacteroides cellulosilyticus OX=246787 GN=bglB_4 PE=3 SV=1,737,train
positive,A0A7V3ZIM6,A0A7V3ZIM6_DICTH beta-glucosidase OS=Dictyoglomus thermophilum OX=14 GN=ENU78_03730 PE=3 SV=1,589,train
negative,A0A7C9JAZ7,A0A7C9JAZ7_9ACTN Beta-glucosidase OS=Herbidospora solisilvae OX=2696284 GN=GT755_06640 PE=3 SV=1,429,train
positive,A0A1V6J379,A0A1V6J379_9BACT Thermostable beta-glucosidase B OS=Bacteroidetes bacterium ADurb.Bin013 OX=1852797 GN=bglB_4 PE=3 SV=1,792,train
negative,A0A4R2HGQ0,A0A4R2HGQ0_9ACTN Beta-glucosidase OS=Kribbella steppae OX=2512223 GN=EV652_106277 PE=3 SV=1,450,train
negative,A0A5B7TLC8,A0A5B7TLC8_9FLAO beta-glucosidase OS=Aureibaculum algae OX=2584122 GN=bglX PE=3 SV=1,759,train
positive,A0A1T3DKL8,A0A1T3DKL8_9FLAO Thermostable beta-glucosidase B OS=Elizabethkingia anophelis OX=1117645 GN=bglB_2 PE=3 SV=1,753,train
positive,A0A1S8T636,A0A1S8T636_9CLOT Thermostable beta-glucosidase B OS=Clostridium sp. BL-8 OX=349938 GN=bglB_2 PE=3 SV=1,689,train
positive,A0A161XG36,A0A161XG36_9CELL Thermostable beta-glucosidase B OS=Oerskovia enterophila OX=43678 GN=bglB_3 PE=3 SV=1,774,train
negative,A0A7Z8Y4R9,A0A7Z8Y4R9_9CAUL beta-glucosidase OS=Brevundimonas mediterranea OX=74329 GN=BREV_BREV_00354 PE=3 SV=1,651,train
positive,A0A564S9R0,A0A564S9R0_9FIRM Thermostable beta-glucosidase B OS=[Ruminococcus] torques OX=33039 GN=bglB_2 PE=3 SV=1,306,train
positive,A0A0D0FQS3,A0A0D0FQS3_9BACI Beta-glucosidase OS=Caldibacillus thermoamylovorans OX=35841 GN=B4065_2407 PE=3 SV=1,462,train
positive,A0A841GLZ0,A0A841GLZ0_9BACT Beta-glucosidase OS=Thermosipho japonicus OX=90323 GN=HNP65_001488 PE=3 SV=1,438,train
positive,D6Y6J1,D6Y6J1_THEBD Beta-glucosidase OS=Thermobispora bispora (strain ATCC 19993 / DSM 43833 / CBS 139.67 / JCM 10125 / KCTC 9307 / NBRC 14880 / R51) OX=469371 GN=Tbis_0839 PE=3 SV=1,488,train
negative,A0A428P8V2,A0A428P8V2_9HYPO beta-glucosidase OS=Fusarium duplospermum OX=1325734 GN=CEP54_012419 PE=3 SV=1,604,train
positive,A0A2X0VPG3,A0A2X0VPG3_9ACTO Thermostable beta-glucosidase B OS=Schaalia odontolytica OX=1660 GN=bglB_3 PE=3 SV=1,251,train
negative,A0A2R4M0X2,A0A2R4M0X2_9RHOB Beta-glucosidase OS=Celeribacter baekdonensis OX=875171 GN=DA792_06775 PE=3 SV=1,451,train
positive,A0A662UHH5,A0A662UHH5_9CREN beta-glucosidase OS=Thermoprotei archaeon OX=2250277 GN=DRO10_03415 PE=4 SV=1,751,train
negative,A0A852RTG1,A0A852RTG1_9ACTN Beta-glucosidase OS=Nocardioides kongjuensis OX=349522 GN=BJ958_003706 PE=3 SV=1,450,train
positive,A0A165VFB8,A0A165VFB8_9HYPH Thermostable beta-glucosidase B OS=Pseudovibrio sp. Ad26 OX=989410 GN=bglB PE=3 SV=1,758,train
negative,F9HL45,F9HL45_STRMT Aryl-phospho-beta-D-glucosidase BglH OS=Streptococcus mitis SK1080 OX=1008453 GN=bglH PE=3 SV=1,471,train
negative,A0A7W3TBD5,A0A7W3TBD5_9ACTN Beta-glucosidase OS=Streptomyces alkaliphilus OX=1472722 GN=FNQ90_06440 PE=3 SV=1,472,train
negative,A0A497DPH5,A0A497DPH5_UNCBA beta-glucosidase OS=Bacteroidota bacterium OX=1898104 GN=DRJ29_13490 PE=4 SV=1,773,train
positive,A0A2P2EDZ7,A0A2P2EDZ7_9PROT Thermostable beta-glucosidase B OS=Candidatus Phycosocius bacilliformis OX=1445552 GN=bglB PE=3 SV=1,704,train
negative,A0A2S9AC65,A0A2S9AC65_9MICO Beta-glucosidase OS=Microbacterium sp. MYb72 OX=1848693 GN=CQ047_05160 PE=3 SV=1,473,train
positive,F7YX70,F7YX70_9THEM Glycoside hydrolase family 1 OS=Pseudothermotoga thermarum DSM 5069 OX=688269 GN=Theth_1013 PE=3 SV=1,489,train
positive,A0A078KI92,A0A078KI92_9FIRM Thermostable beta-glucosidase B OS=[Clostridium] cellulosi OX=29343 GN=bglB PE=3 SV=1,746,train
negative,A0A268F1P2,A0A268F1P2_9BACL beta-glucosidase OS=Paenibacillus campinasensis OX=66347 GN=CHH67_04995 PE=4 SV=1,774,train
positive,A0A7S7M8R7,A0A7S7M8R7_9ACTN Glycoside hydrolase family 1 protein OS=Thermophilibacter immobilis OX=2779519 GN=INP52_09165 PE=3 SV=1,472,train
positive,A0A0U9HXB8,A0A0U9HXB8_9BACT Beta-glucosidase OS=Thermodesulfovibrio aggregans OX=86166 GN=TAGGR_1553 PE=3 SV=1,424,train
positive,A0A326U5S0,A0A326U5S0_THEHA beta-glucosidase OS=Thermosporothrix hazakensis OX=644383 GN=EI42_03028 PE=4 SV=1,607,train
positive,A0A7W3R9B0,A0A7W3R9B0_9ACTN Beta-glucosidase OS=Thermomonospora cellulosilytica OX=1411118 GN=HNR21_003459 PE=3 SV=1,476,train
positive,A0A160VFN6,A0A160VFN6_9ZZZZ beta-glucosidase OS=hydrothermal vent metagenome OX=652676 GN=MGWOODY_Mmi2608 PE=3 SV=1,694,train
negative,A0A4R0JCM8,A0A4R0JCM8_9ACTN Beta-glucosidase OS=Kribbella capetownensis OX=1572659 GN=E0H75_37520 PE=3 SV=1,454,train
negative,A0A4R4S6F5,A0A4R4S6F5_9ACTN Beta-glucosidase OS=Actinomadura sp. KC345 OX=2530371 GN=E1281_01515 PE=3 SV=1,474,train
positive,F7YUQ7,F7YUQ7_9THEM beta-glucosidase OS=Pseudothermotoga thermarum DSM 5069 OX=688269 GN=Theth_0138 PE=4 SV=1,774,train
positive,A0A1C5XVD7,A0A1C5XVD7_9FIRM Thermostable beta-glucosidase B OS=uncultured Blautia sp OX=765821 GN=bglB_2 PE=3 SV=1,756,train
positive,A0A840P274,A0A840P274_9ACTN Beta-glucosidase OS=Thermocatellispora tengchongensis OX=1073253 GN=HNP84_001746 PE=3 SV=1,477,train
negative,A0A660KNE1,A0A660KNE1_9ROSI beta-glucosidase OS=Carpinus fangiana OX=176857 GN=FH972_010464 PE=4 SV=1,667,train
negative,A0A6H0CM26,A0A6H0CM26_9ACTN Beta-glucosidase OS=Streptomyces sp. DSM 40868 OX=2721173 GN=HB370_15725 PE=3 SV=1,480,train
negative,A0A7X0TZ29,A0A7X0TZ29_9ACTN Beta-glucosidase OS=Nonomuraea rubra OX=46180 GN=HD593_003853 PE=3 SV=1,464,train
positive,B5YC37,B5YC37_DICT6 beta-glucosidase OS=Dictyoglomus thermophilum (strain ATCC 35947 / DSM 3960 / H-6-12) OX=309799 GN=DICTH_0262 PE=3 SV=1,589,train
negative,T1WEX9,T1WEX9_BACUN beta-glucosidase OS=Bacteroides uniformis OX=820 GN=bgl9 PE=3 SV=1,736,train
positive,A0A1H1HG45,A0A1H1HG45_9ACTN Beta-glucosidase OS=Thermostaphylospora chromogena OX=35622 GN=SAMN04489764_4403 PE=3 SV=1,798,train
positive,A0A174TF67,A0A174TF67_BACT4 Thermostable beta-glucosidase B OS=Bacteroides thetaiotaomicron OX=818 GN=bglB_1 PE=3 SV=1,764,train
negative,A0A7D8AC13,A0A7D8AC13_9MICO Beta-glucosidase OS=Microbacterium esteraromaticum OX=57043 GN=FVO59_09915 PE=3 SV=1,478,train
negative,A0A524DWB0,A0A524DWB0_THOAR beta-glucosidase (Fragment) OS=Thorarchaeota archaeon (strain OWC) OX=2053491 GN=EU538_11700 PE=3 SV=1,477,train
positive,Q47PF5,Q47PF5_THEFY Beta-glucosidase OS=Thermobifida fusca (strain YX) OX=269800 GN=Tfu_1629 PE=3 SV=1,463,train
positive,A0A077LXJ5,A0A077LXJ5_9MICO Thermostable beta-glucosidase B OS=Nostocoides japonicum T1-X7 OX=1194083 GN=bglB PE=3 SV=1,766,train
negative,A0A0D6Z9S6,A0A0D6Z9S6_9BACI beta-glucosidase OS=Mesobacillus subterraneus OX=285983 GN=UB32_12060 PE=3 SV=1,723,train
negative,A0A0Q9MKX9,A0A0Q9MKX9_9MICC beta-glucosidase OS=Arthrobacter sp. Soil761 OX=1736400 GN=ASG79_15295 PE=3 SV=1,785,train
negative,A0A0Q9RIY6,A0A0Q9RIY6_9ACTN Beta-glucosidase OS=Nocardioides sp. Soil796 OX=1736412 GN=ASH02_12845 PE=3 SV=1,443,train
positive,B5YCI2,B5YCI2_DICT6 Beta-glucosidase A OS=Dictyoglomus thermophilum (strain ATCC 35947 / DSM 3960 / H-6-12) OX=309799 GN=DICTH_0359 PE=3 SV=1,418,train
positive,A0A644VRR5,A0A644VRR5_9ZZZZ Thermostable beta-glucosidase B OS=bioreactor metagenome OX=1076179 GN=bglB_2 PE=3 SV=1,790,train
positive,A0A0M2H9K5,A0A0M2H9K5_9MICO Thermostable beta-glucosidase B OS=Microbacterium terrae OX=69369 GN=bglB_3 PE=3 SV=1,741,train
positive,Q9WXT1,Q9WXT1_THEMA beta-glucosidase OS=Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8) OX=243274 GN=TM_0076 PE=1 SV=1,778,train
negative,A0A7K2MXY9,A0A7K2MXY9_9ACTN beta-glucosidase (Fragment) OS=Streptomyces sp. SID6013 OX=2690317 GN=GTW46_31920 PE=4 SV=1,290,train
negative,A0A7Y2EEC7,A0A7Y2EEC7_9FLAO beta-glucosidase OS=Flavobacteriaceae bacterium OX=1871037 GN=bglX PE=3 SV=1,759,train
negative,A0A5D3D8S5,A0A5D3D8S5_CUCME beta-glucosidase OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold811G00830 PE=4 SV=1,590,train
negative,A0A062VVQ8,A0A062VVQ8_9MICO Beta-glucosidase OS=Microbacterium sp. CH12i OX=1479651 GN=DC31_10220 PE=3 SV=1,450,train
positive,A0A2W4IQW6,A0A2W4IQW6_9PSEU beta-glucosidase (Fragment) OS=Thermocrispum agreste OX=37925 GN=DIU77_19740 PE=4 SV=1,535,train
positive,A0A2K9ZHJ6,A0A2K9ZHJ6_RHILE Thermostable beta-glucosidase B OS=Rhizobium leguminosarum OX=384 GN=bglB PE=3 SV=1,782,train
positive,G0SG40,G0SG40_CHATD beta-glucosidase OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0064940 PE=3 SV=1,734,train
negative,A0A090X657,A0A090X657_9FLAO Beta-glucosidase OS=Algibacter lectus OX=221126 GN=JCM19274_1328 PE=4 SV=1,562,train
negative,A0A1G5V414,A0A1G5V414_9FIRM Beta-glucosidase OS=Lachnospiraceae bacterium G11 OX=1200747 GN=SAMN02910368_00369 PE=3 SV=1,469,train
positive,E8URB0,E8URB0_THEBF beta-glucosidase OS=Thermoanaerobacter brockii subsp. finnii (strain ATCC 43586 / DSM 3389 / AKO-1) OX=509193 GN=Thebr_2099 PE=3 SV=1,784,train
positive,A0A1M6U8G0,A0A1M6U8G0_PSETH Beta-glucosidase OS=Pseudonocardia thermophila OX=1848 GN=SAMN05443637_109199 PE=3 SV=1,484,train
positive,A0A455T9E8,A0A455T9E8_9CHLR beta-glucosidase OS=Thermogemmatispora argillosa OX=2045280 GN=KTA_42910 PE=4 SV=1,755,train
negative,A0A559S4R8,A0A559S4R8_9FLAO beta-glucosidase OS=Lutibacter sp. Hel_I_33_5 OX=1566289 GN=OD91_2658 PE=4 SV=1,750,train
positive,A0A090ZEX2,A0A090ZEX2_PAEMA Thermostable beta-glucosidase B OS=Paenibacillus macerans OX=44252 GN=bglB PE=3 SV=1,755,train
negative,W2YJI4,W2YJI4_PHYNI beta-glucosidase OS=Phytophthora nicotianae P10297 OX=1317064 GN=F442_16670 PE=3 SV=1,391,train
negative,A0A2P4ZEB5,A0A2P4ZEB5_9HYPO beta-glucosidase OS=Trichoderma gamsii OX=398673 GN=TGAM01_v208517 PE=3 SV=1,763,train
positive,A0A7C4KK39,A0A7C4KK39_9CHLR Glycosyl hydrolase family protein (Fragment) OS=Anaerolinea thermolimosa OX=229919 GN=ENT37_11180 PE=3 SV=1,349,train
negative,A0A2M6WM05,A0A2M6WM05_9BACT Glycoside hydrolase family 1 protein OS=Candidatus Falkowbacteria bacterium CG10_big_fil_rev_8_21_14_0_10_43_11 OX=1974568 GN=COU00_02385 PE=3 SV=1,398,train
positive,A0A174GVK5,A0A174GVK5_9FIRM Thermostable beta-glucosidase B OS=Blautia wexlerae OX=418240 GN=bglB_6 PE=3 SV=1,761,train
negative,A0A139QFA8,A0A139QFA8_STRCV Beta-glucosidase / 6-phospho-beta-glucosidase OS=Streptococcus constellatus OX=76860 GN=SCODD09_01549 PE=3 SV=1,479,train
negative,A0A1C3YQW4,A0A1C3YQW4_9GAMM beta-glucosidase OS=Gilliamella bombicola OX=1798182 GN=GA0061081_10164 PE=3 SV=1,761,train
negative,A0A0Q5LGS4,A0A0Q5LGS4_9MICO beta-glucosidase OS=Microbacterium sp. Leaf161 OX=1736281 GN=ASF87_03015 PE=3 SV=1,767,train
positive,A0A1I2BW06,A0A1I2BW06_9BACT beta-glucosidase OS=Thermophagus xiamenensis OX=385682 GN=SAMN05444380_11456 PE=3 SV=1,753,train
negative,A0A2V8RBS5,A0A2V8RBS5_UNCAI beta-glucosidase OS=Acidobacteriota bacterium OX=1978231 GN=DMF67_06450 PE=4 SV=1,722,train
negative,A0A835APJ6,A0A835APJ6_9POAL beta-glucosidase OS=Digitaria exilis OX=1010633 GN=HU200_049783 PE=3 SV=1,419,train
negative,A0A291P0L3,A0A291P0L3_STRSQ beta-glucosidase OS=Streptomyces sp OX=1931 PE=4 SV=1,607,train
negative,A0A4Q3DT52,A0A4Q3DT52_9HYPH Beta-glucosidase OS=Hyphomicrobiales bacterium OX=1909294 GN=EOP22_09225 PE=3 SV=1,435,train
negative,A0A350VVK4,A0A350VVK4_9FIRM beta-glucosidase OS=Eubacterium sp OX=142586 GN=DCY19_02730 PE=3 SV=1,768,train
positive,A0A4D4JAD4,A0A4D4JAD4_9PSEU Beta-glucosidase OS=Gandjariella thermophila OX=1931992 GN=bglB_2 PE=3 SV=1,457,train
negative,A0A174EPF1,A0A174EPF1_9FIRM Beta-glucosidase OS=Roseburia inulinivorans OX=360807 GN=bglA_2 PE=3 SV=1,767,train
positive,A0A326U6N9,A0A326U6N9_THEHA Beta-glucosidase OS=Thermosporothrix hazakensis OX=644383 GN=EI42_02436 PE=3 SV=1,460,train
negative,A0A418NGL2,A0A418NGL2_9SPHN beta-glucosidase OS=Pelagerythrobacter aerophilus OX=2306995 GN=bglX PE=3 SV=1,760,train
positive,A0A3D1JGL0,A0A3D1JGL0_9CHLR beta-glucosidase OS=Anaerolinea thermolimosa OX=229919 GN=DEQ80_02635 PE=3 SV=1,730,train
positive,A0A174FBR0,A0A174FBR0_9FIRM Thermostable beta-glucosidase B OS=Blautia obeum OX=40520 GN=bglB_5 PE=3 SV=1,761,train
negative,A0A654EL57,A0A654EL57_ARATH beta-glucosidase OS=Arabidopsis thaliana OX=3702 GN=AN1_LOCUS5002 PE=3 SV=1,493,train
negative,G8TIW6,G8TIW6_NIAKG Beta-glucosidase OS=Niastella koreensis (strain DSM 17620 / KACC 11465 / NBRC 106392 / GR20-10) OX=700598 GN=Niako_0058 PE=4 SV=1,793,train
negative,A0A5D2S8C1,A0A5D2S8C1_GOSMU beta-glucosidase OS=Gossypium mustelinum OX=34275 GN=E1A91_D13G268900v1 PE=3 SV=1,632,train
positive,A0A1C6I6A3,A0A1C6I6A3_9CLOT Thermostable beta-glucosidase B OS=uncultured Clostridium sp OX=59620 GN=bglB_2 PE=3 SV=1,753,train
negative,A0A3R0PQZ9,A0A3R0PQZ9_SALER beta-glucosidase OS=Salmonella enterica OX=28901 GN=DTA53_18125 PE=3 SV=1,765,train
negative,A0A3S0EJH5,A0A3S0EJH5_9BURK Beta-glucosidase OS=Burkholderiales bacterium OX=1891238 GN=EKK53_11470 PE=3 SV=1,447,train
negative,A0A238VD86,A0A238VD86_9FLAO beta-glucosidase OS=Lutibacter agarilyticus OX=1109740 GN=SAMN06265371_101148 PE=3 SV=1,792,train
positive,A0A291KE00,A0A291KE00_BROTH beta-glucosidase OS=Brochothrix thermosphacta OX=2756 GN=CNY62_02925 PE=3 SV=1,723,train
positive,A0A1C5RUQ4,A0A1C5RUQ4_9CLOT Thermostable beta-glucosidase B OS=uncultured Clostridium sp OX=59620 GN=bglB_2 PE=3 SV=1,762,train
positive,A0A0K9HVW3,A0A0K9HVW3_GEOSE Beta-glucosidase OS=Geobacillus stearothermophilus OX=1422 GN=B4114_3073 PE=3 SV=1,478,train
positive,A0A1J5PBT1,A0A1J5PBT1_9ZZZZ Thermostable beta-glucosidase B OS=mine drainage metagenome OX=410659 GN=bglB_4 PE=3 SV=1,334,train
negative,A0A5J5K218,A0A5J5K218_9ACTN Beta-glucosidase OS=Microbispora cellulosiformans OX=2614688 GN=F5972_15025 PE=3 SV=1,500,train
negative,A0A818S7X8,A0A818S7X8_9BILA beta-glucosidase OS=Rotaria socialis OX=392032 GN=KIK155_LOCUS24458 PE=3 SV=1,748,train
positive,A0A1T4TCM6,A0A1T4TCM6_9ACTN Beta-glucosidase OS=Marinactinospora thermotolerans DSM 45154 OX=1122192 GN=SAMN02745673_04786 PE=3 SV=1,471,train
negative,G3XZP0,G3XZP0_ASPNA beta-glucosidase OS=Aspergillus niger (strain ATCC 1015 / CBS 113.46 / FGSC A1144 / LSHB Ac4 / NCTC 3858a / NRRL 328 / USDA 3528.7) OX=380704 GN=ASPNIDRAFT_39613 PE=3 SV=1,798,train
negative,A0A0F4JS44,A0A0F4JS44_9ACTN beta-glucosidase OS=Streptomyces katrae OX=68223 GN=VR44_06825 PE=4 SV=1,739,train
positive,A0A2A5WZP9,A0A2A5WZP9_9BACT beta-glucosidase OS=Rhodothermaeota bacterium MED-G19 OX=1986240 GN=CND83_02795 PE=4 SV=1,761,train
positive,Q08S21,Q08S21_STIAD Thermostable beta-glucosidase B OS=Stigmatella aurantiaca (strain DW4/3-1) OX=378806 GN=STIAU_7448 PE=3 SV=1,750,train
positive,A0A174QJC1,A0A174QJC1_9FIRM Thermostable beta-glucosidase B OS=Fusicatenibacter saccharivorans OX=1150298 GN=bglB_8 PE=3 SV=1,750,train
negative,A0A2V4PAU1,A0A2V4PAU1_9ACTN beta-glucosidase OS=Streptomyces tateyamensis OX=565073 GN=C7C46_01115 PE=4 SV=1,778,train
positive,A0A0F2C6W3,A0A0F2C6W3_9MICO Thermostable beta-glucosidase B OS=Microbacterium sp. SA39 OX=1263625 GN=bglB_1 PE=3 SV=1,762,train
positive,A0A231VHZ7,A0A231VHZ7_THETR beta-glucosidase OS=Thermoanaerobacterium thermosaccharolyticum OX=1517 GN=CE561_06035 PE=3 SV=1,444,train
positive,A0A399ESG3,A0A399ESG3_9DEIN Beta-glucosidase OS=Meiothermus luteus OX=2026184 GN=bglA_2 PE=3 SV=1,444,train
positive,A0A430S1W8,A0A430S1W8_THESC Beta-glucosidase OS=Thermus scotoductus OX=37636 GN=CSW40_02430 PE=3 SV=1,431,train
negative,A0A351ASK4,A0A351ASK4_9BACT beta-glucosidase (Fragment) OS=Rikenellaceae bacterium OX=2049048 GN=DCY24_07565 PE=3 SV=1,405,train
positive,A0A1E3AR61,A0A1E3AR61_9FIRM Thermostable beta-glucosidase B OS=Eisenbergiella tayi OX=1432052 GN=bglB_6 PE=3 SV=1,689,train
positive,A0A1M6FUN3,A0A1M6FUN3_9FLAO beta-glucosidase OS=Pseudozobellia thermophila OX=192903 GN=SAMN04488513_102560 PE=3 SV=1,760,train
positive,A0A7K2C1H5,A0A7K2C1H5_9BACT beta-glucosidase OS=Rhodothermaceae bacterium OX=2026787 GN=F4221_06080 PE=4 SV=1,665,train
positive,A0A1C6AJZ2,A0A1C6AJZ2_9CLOT Thermostable beta-glucosidase B OS=uncultured Clostridium sp OX=59620 GN=bglB_1 PE=3 SV=1,748,train
positive,A0A1S8KYM5,A0A1S8KYM5_9CLOT Thermostable beta-glucosidase B OS=Clostridium felsineum OX=36839 GN=bglB PE=3 SV=1,756,train
negative,A0A853D5C0,A0A853D5C0_9MICO Beta-glucosidase OS=Leifsonia shinshuensis OX=150026 GN=HNR13_004112 PE=3 SV=1,415,train
positive,G0GFK4,G0GFK4_SPITZ Beta-glucosidase OS=Spirochaeta thermophila (strain ATCC 700085 / DSM 6578 / Z-1203) OX=869211 GN=Spith_2148 PE=3 SV=1,446,train
positive,A0A1H1GMK7,A0A1H1GMK7_9ACTN Beta-glucosidase OS=Thermostaphylospora chromogena OX=35622 GN=SAMN04489764_3688 PE=3 SV=1,440,train
positive,A0A422MD97,A0A422MD97_LACPA Thermostable beta-glucosidase B OS=Lacticaseibacillus paracasei OX=1597 GN=FAM18172_00625 PE=3 SV=1,795,train
negative,D4ILL9,D4ILL9_9BACT Beta-glucosidase OS=Alistipes shahii WAL 8301 OX=717959 GN=AL1_13770 PE=3 SV=1,776,train
negative,A0A1R3RXP0,A0A1R3RXP0_ASPC5 Probable beta-glucosidase M OS=Aspergillus carbonarius (strain ITEM 5010) OX=602072 GN=ASPCADRAFT_163392 PE=3 SV=1,765,train
positive,D2C765,D2C765_THEP2 beta-glucosidase OS=Thermotoga petrophila (strain ATCC BAA-489 / DSM 13996 / JCM 10882 / RKU-10) OX=590168 GN=Tnap_0706 PE=3 SV=1,778,train
negative,A0A543F141,A0A543F141_9MICO beta-glucosidase OS=Microbacterium kyungheense OX=1263636 GN=FB391_1529 PE=4 SV=1,772,train
negative,A0A7C5MP78,A0A7C5MP78_9CHLR Beta-glucosidase OS=Anaerolineae bacterium OX=2052143 GN=ENL85_05960 PE=3 SV=1,446,train
negative,A0A2T9Y5X5,A0A2T9Y5X5_9FUNG beta-glucosidase (Fragment) OS=Smittium simulii OX=133385 GN=BB561_006196 PE=3 SV=1,639,train
negative,W9B3Q3,W9B3Q3_KLEPN 6-phospho-beta-glucosidase OS=Klebsiella pneumoniae OX=573 GN=gmuD_2 PE=3 SV=1,466,train
negative,A0A1X2G7I6,A0A1X2G7I6_9FUNG beta-glucosidase OS=Hesseltinella vesiculosa OX=101127 GN=DM01DRAFT_331495 PE=3 SV=1,693,train
negative,A0A3R8U7T7,A0A3R8U7T7_9GAMM beta-glucosidase OS=Stutzerimonas xanthomarina OX=271420 GN=bglX PE=4 SV=1,763,train
positive,I3VXG7,I3VXG7_THESW beta-glucosidase OS=Thermoanaerobacterium saccharolyticum (strain DSM 8691 / JW/SL-YS485) OX=1094508 GN=Tsac_2208 PE=1 SV=1,444,train
positive,A0A7C0X8K4,A0A7C0X8K4_9BACT beta-glucosidase OS=Thermotogales bacterium OX=2093812 GN=ENG58_00785 PE=3 SV=1,749,train
negative,A0A194W729,A0A194W729_9PEZI beta-glucosidase OS=Valsa mali OX=105487 GN=VM1G_07764 PE=3 SV=1,779,train
positive,W9EAC3,W9EAC3_9THEO beta-glucosidase OS=Thermoanaerobacterium aotearoense SCUT27 OX=1421016 GN=V518_1745 PE=3 SV=1,444,train
negative,A0A1V6BFD2,A0A1V6BFD2_9BACT beta-glucosidase OS=Bacteroidetes bacterium ADurb.Bin145 OX=1852807 GN=bglX_1 PE=4 SV=1,777,train
positive,A0A7W3MYB1,A0A7W3MYB1_9ACTN beta-glucosidase OS=Thermomonospora cellulosilytica OX=1411118 GN=HNR21_003032 PE=3 SV=1,745,train
